Energy(eV),QE
1.72194,0.0
1.737128961,0.0001140096372
1.740497437,0.0001354610821
1.743201639,0.0001572423578
1.745574717,0.0001964247274
1.755818666,0.000255462324
1.762715023,0.0003204926454
1.770538468,0.000389489576
1.778431668,0.0004646644641
1.789066064,0.0005761292041
1.798025698,0.0006757758829
1.80404881,0.0007955248902
1.817530378,0.0009843348403
1.827309401,0.001176138864
1.835584021,0.001368939961
1.849905892,0.001722090775
1.865283275,0.002132414122
1.876331181,0.002506046245
1.885858338,0.002963038428
1.901237554,0.003743554154
1.916392192,0.004258670841
1.925298601,0.005153950545
1.944063624,0.006462279442
1.962891373,0.007795086462
1.973991914,0.009037162732
1.989304292,0.01102188501
2.0063499,0.01276535251
2.016114219,0.0146565709
2.037471277,0.01847635233
2.060073385,0.02274032023
2.082055058,0.02669864079
2.103524487,0.03197183393
2.130992048,0.03961108471
2.159186437,0.045974938
2.188136888,0.05388380469
2.220617752,0.06375716044
2.258533882,0.07361916175
2.293611461,0.08586308347
2.357692297,0.1041793082
2.437733076,0.1285367043
2.514562782,0.1480791208
2.583315774,0.1640160769
2.673735207,0.1841085042
2.766017716,0.2025961141
2.848274284,0.2167859044
2.965221021,0.2334947616
3.083380962,0.2406033824
3.197620234,0.2419524595
3.390901641,0.2415769589
3.501123936,0.2399875719
3.683098717,0.2381394934
3.867172934,0.2359405751
4.04858152,0.2326063005
4.342380325,0.2238739052
4.524801025,0.2176172303
4.833436516,0.2093218986
5.162396033,0.2005766549
5.483005705,0.1935857902
5.97581344,0.1775881536
6.345468626,0.1683717151
6.687406061,0.160301753
6.920320274,0.1524467935
7.118851613,0.1447084285
7.455554054,0.1336367564
7.658398112,0.1264869619
7.881585714,0.1206372647
8.173496296,0.1052500285
8.296406015,0.09393760993
8.343602786,0.07605361997
8.531965236,0.06403223829
8.553658915,0.05826826662
8.553658915,0.06989473207
8.622118985,0.05521389628
8.85571,0.05
